ID;Disciplina;Assunto;Assertiva;Gabarito;comentario;Assunto_Novo;Assunto_Corrigido
1;direiro previdenciário;Origem e Evolução Legislativa da Seguridade Social;A Lei Eloy Chaves (Decreto Legislativo nº 4.682/1923) é considerada o marco da Previdência Social no Brasil, responsável pela criação das Caixas de Aposentadorias e Pensões (CAPs) destinadas aos empregados das empresas de estradas de ferro.;C;A doutrina e jurisprudência apontam a Lei Eloy Chaves (1923) como o marco da Previdência Social no Brasil, instituindo as CAPs voltadas inicialmente aos ferroviários.;Origem e Evolução Legislativa da Seguridade Social;Origem e Evolução Legislativa da Seguridade Social
2;direiro previdenciário;Origem e Evolução Legislativa da Seguridade Social;A Constituição Federal de 1891 foi a primeira a estabelecer a forma tríplice da fonte de custeio previdenciária, com a previsão de contribuições do Estado, do empregador e do empregado.;E;A primeira Constituição brasileira a estabelecer a forma tríplice de custeio (Estado, empregador e empregado) foi a Constituição de 1934, e não a de 1891.;Origem e Evolução Legislativa da Seguridade Social;Origem e Evolução Legislativa da Seguridade Social
3;direiro previdenciário;Assistência Social (LOAS/BPC);O Plano Beveridge, criado na Inglaterra em 1942, deu origem à concepção de Seguridade Social, estabelecendo a responsabilidade estatal não apenas no seguro social, mas também em ações integradas nas áreas de saúde e assistência social.;C;O Relatório Beveridge (1942) foi o responsável por dar origem ao conceito de Seguridade Social, expandindo a proteção estatal para as áreas de saúde e assistência social, além da previdência.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
4;direiro previdenciário;Assistência Social (LOAS/BPC);A Seguridade Social abrange um conjunto integrado de ações de iniciativa exclusiva dos Poderes Públicos, destinadas a assegurar os direitos relativos à saúde, à previdência, à assistência social e à moradia.;E;A iniciativa não é exclusiva dos Poderes Públicos (inclui a sociedade) e a moradia, embora seja um direito social constitucional, não integra o sistema de Seguridade Social (que abarca apenas Saúde, Previdência e Assistência Social).;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
5;direiro previdenciário;Saúde (SUS);O Sistema Único de Saúde (SUS) presta assistência a quem dela necessitar, exigindo-se do beneficiário a comprovação do recolhimento de um número mínimo de contribuições à seguridade social para o acesso aos serviços mais complexos.;E;A saúde é direito de todos e não exige do beneficiário qualquer contribuição prévia (ou carência) à seguridade social para o acesso aos seus serviços e ações.;Saúde (SUS);Saúde (SUS)
6;direiro previdenciário;Saúde (SUS);A Constituição Federal permite que instituições da iniciativa privada participem de forma complementar do Sistema Único de Saúde (SUS), mediante contrato de direito público ou convênio, com preferência para as entidades filantrópicas e as sem fins lucrativos.;C;A Constituição de 1988 não veda a participação da iniciativa privada, autorizando-a atuar de forma complementar ao SUS, dando preferência às entidades filantrópicas e sem fins lucrativos.;Saúde (SUS);Saúde (SUS)
7;direiro previdenciário;Assistência Social (LOAS/BPC);A Assistência Social é regida por uma política não contributiva, sendo prestada a quem dela necessitar independentemente do pagamento de contribuições prévias ao sistema de seguridade social.;C;A Assistência Social possui natureza não contributiva e é devida a quem necessitar, independentemente de filiação ou pagamento de contribuições à Seguridade Social.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
8;direiro previdenciário;Assistência Social (LOAS/BPC);Para que o idoso ou a pessoa com deficiência tenha direito ao Benefício de Prestação Continuada (BPC-LOAS), é obrigatória a comprovação de sua vinculação prévia e carência mínima no âmbito do Regime Geral de Previdência Social.;E;O BPC-LOAS é um benefício de Assistência Social e, por sua natureza não contributiva, independe de contribuição prévia, vinculação ou carência no sistema previdenciário.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
9;direiro previdenciário;Assistência Social (LOAS/BPC);O Conselho Nacional de Assistência Social (CNAS) possui caráter paritário, sendo metade de seus membros composta por representantes governamentais e a outra metade por representantes da sociedade civil.;C;O CNAS é um órgão de deliberação colegiada com caráter paritário, formado por 18 membros, sendo 9 representantes governamentais e 9 representantes da sociedade civil.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
10;direiro previdenciário;Das Inscrições (RGPS);A Previdência Social brasileira é organizada sob a forma do Regime Geral de Previdência Social (RGPS), que possui caráter contributivo e filiação facultativa para as pessoas que exercem atividade remunerada.;E;Para as pessoas que exercem atividade remunerada de forma lícita, a filiação ao RGPS é obrigatória, e não facultativa.;Filiação e Inscrição;Das Inscrições (RGPS)
